GPA     ma     ve     co     un
3.45    643    589    3.76   3.52
3.12    712    458    3.89   3.21
3.67    554    632    3.45   3.78
3.01    658    511    3.67   3.25
3.88    499    689    3.23   3.98
3.55    621    521    3.76   3.44
3.29    688    499    3.81   3.12
3.76    531    611    3.56   3.67
3.03    677    488    3.69   3.34
3.95    467    729    3.18   4.00
3.42    652    578    3.82   3.50
3.19    701    434    3.95   3.10
3.79    516    643    3.47   3.73
3.07    665    478    3.72   3.31
3.92    477    709    3.28   3.99
3.62    586    543    3.72   3.40
3.35    677    512    3.65   3.23
3.84    508    688    3.30   3.96
3.49    629    561    3.78   3.48
3.25    698    487    3.76   3.29
3.81    538    628    3.52   3.71
3.14    726    466    3.88   3.18
3.71    544    652    3.43   3.77
3.01    688    498    3.77   3.38
3.87    487    719    3.25   3.97
3.59    609    532    3.79   3.46
3.32    697    509    3.70   3.26
3.76    522    688    3.33   3.93
3.47    637    571    3.80   3.53
3.28    705    443    3.92   3.15
3.74    528    662    3.49   3.81
3.04    674    482    3.74   3.36
3.91    457    729    3.34   3.95
3.64    573    552    3.73   3.41
3.38    677    518    3.68   3.28
3.83    498    697    3.31   3.94
3.54    614    548    3.77   3.47
3.22    703    455    3.91   3.12
3.78    511    648    3.46   3.76
3.09    682    493    3.71   3.33
3.93    467    719    3.27   3.99
3.66    591    541    3.71   3.39
3.39    698    507    3.74   3.24
3.86    508    692    3.29   3.98
3.50    624    564    3.79   3.49
3.26    702    469    3.85   3.17
3.77    532    658    3.52   3.72
3.02    683    495    3.76   3.35
3.90    477    727    3.32   3.96
3.61    579    558    3.72   3.42
3.36    696    515    3.67   3.27
3.85    501    694    3.32   3.92
3.52    617    554    3.75   3.46
3.21    700    449    3.90   3.11
3.80    514    653    3.48   3.75
2.00    550    450    2.50   2.00
